locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLIFIDGN_00001	gene	1395				
LLIFIDGN_00001	mRNA	1395				
LLIFIDGN_00001	CDS	1395				hypothetical protein
LLIFIDGN_00002	gene	1758	phaC			
LLIFIDGN_00002	mRNA	1758	phaC			
LLIFIDGN_00002	CDS	1758	phaC	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
LLIFIDGN_00003	gene	1080				
LLIFIDGN_00003	mRNA	1080				
LLIFIDGN_00003	CDS	1080				hypothetical protein
LLIFIDGN_00004	gene	1113	yhhJ			
LLIFIDGN_00004	mRNA	1113	yhhJ			
LLIFIDGN_00004	CDS	1113	yhhJ		COG0842	Inner membrane transport permease YhhJ
LLIFIDGN_00005	gene	2739	rbbA			
LLIFIDGN_00005	mRNA	2739	rbbA			
LLIFIDGN_00005	CDS	2739	rbbA		COG0842	Ribosome-associated ATPase
LLIFIDGN_00006	gene	231				
LLIFIDGN_00006	mRNA	231				
LLIFIDGN_00006	CDS	231				hypothetical protein
LLIFIDGN_00007	gene	1614				
LLIFIDGN_00007	mRNA	1614				
LLIFIDGN_00007	CDS	1614				hypothetical protein
LLIFIDGN_00008	gene	1254				
LLIFIDGN_00008	mRNA	1254				
LLIFIDGN_00008	CDS	1254				hypothetical protein
LLIFIDGN_00009	gene	630				
LLIFIDGN_00009	mRNA	630				
LLIFIDGN_00009	CDS	630				hypothetical protein
LLIFIDGN_00010	gene	435	rplO			
LLIFIDGN_00010	mRNA	435	rplO			
LLIFIDGN_00010	CDS	435	rplO		COG0200	50S ribosomal protein L15
LLIFIDGN_00011	gene	180	rpmD			
LLIFIDGN_00011	mRNA	180	rpmD			
LLIFIDGN_00011	CDS	180	rpmD		COG1841	50S ribosomal protein L30
LLIFIDGN_00012	gene	504	rpsE			
LLIFIDGN_00012	mRNA	504	rpsE			
LLIFIDGN_00012	CDS	504	rpsE		COG0098	30S ribosomal protein S5
LLIFIDGN_00013	gene	354	rplR			
LLIFIDGN_00013	mRNA	354	rplR			
LLIFIDGN_00013	CDS	354	rplR		COG0256	50S ribosomal protein L18
LLIFIDGN_00014	gene	534	rplF			
LLIFIDGN_00014	mRNA	534	rplF			
LLIFIDGN_00014	CDS	534	rplF		COG0097	50S ribosomal protein L6
LLIFIDGN_00015	gene	393	rpsH_1			
LLIFIDGN_00015	mRNA	393	rpsH_1			
LLIFIDGN_00015	CDS	393	rpsH_1		COG0096	30S ribosomal protein S8
LLIFIDGN_00016	gene	306	rpsN			
LLIFIDGN_00016	mRNA	306	rpsN			
LLIFIDGN_00016	CDS	306	rpsN		COG0199	30S ribosomal protein S14
LLIFIDGN_00017	gene	297	atpH			
LLIFIDGN_00017	mRNA	297	atpH			
LLIFIDGN_00017	CDS	297	atpH		COG0712	ATP synthase subunit delta
LLIFIDGN_00018	gene	1542	atpA			
LLIFIDGN_00018	mRNA	1542	atpA			
LLIFIDGN_00018	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
LLIFIDGN_00019	gene	864	atpG			
LLIFIDGN_00019	mRNA	864	atpG			
LLIFIDGN_00019	CDS	864	atpG		COG0224	ATP synthase gamma chain
LLIFIDGN_00020	gene	597				
LLIFIDGN_00020	mRNA	597				
LLIFIDGN_00020	CDS	597				hypothetical protein
LLIFIDGN_00021	gene	1464	guaB			
LLIFIDGN_00021	mRNA	1464	guaB			
LLIFIDGN_00021	CDS	1464	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
LLIFIDGN_00022	gene	243	larC			
LLIFIDGN_00022	mRNA	243	larC			
LLIFIDGN_00022	CDS	243	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
LLIFIDGN_00023	gene	1392				
LLIFIDGN_00023	mRNA	1392				
LLIFIDGN_00023	CDS	1392				IS1380 family transposase ISCef6
LLIFIDGN_00024	gene	1314				
LLIFIDGN_00024	mRNA	1314				
LLIFIDGN_00024	CDS	1314				hypothetical protein
LLIFIDGN_00025	gene	237	ackA			
LLIFIDGN_00025	mRNA	237	ackA			
LLIFIDGN_00025	CDS	237	ackA	2.7.2.1	COG0282	Acetate kinase
LLIFIDGN_00026	gene	765	fabI			
LLIFIDGN_00026	mRNA	765	fabI			
LLIFIDGN_00026	CDS	765	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
LLIFIDGN_00027	gene	1206	gltS			
LLIFIDGN_00027	mRNA	1206	gltS			
LLIFIDGN_00027	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
LLIFIDGN_00028	gene	372				
LLIFIDGN_00028	mRNA	372				
LLIFIDGN_00028	CDS	372			COG3039	IS5 family transposase ISAzs9
LLIFIDGN_00029	gene	756				
LLIFIDGN_00029	mRNA	756				
LLIFIDGN_00029	CDS	756				IS21 family transposase ISPve1
LLIFIDGN_00030	gene	1497				
LLIFIDGN_00030	mRNA	1497				
LLIFIDGN_00030	CDS	1497				hypothetical protein
LLIFIDGN_00031	gene	2721	rpoB			
LLIFIDGN_00031	mRNA	2721	rpoB			
LLIFIDGN_00031	CDS	2721	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
LLIFIDGN_00032	gene	516				
LLIFIDGN_00032	mRNA	516				
LLIFIDGN_00032	CDS	516				hypothetical protein
LLIFIDGN_00033	gene	93				
LLIFIDGN_00033	mRNA	93				
