locus_tag	ftype	length_bp	gene	EC_number	COG	product
HELDLCEG_00001	gene	780				
HELDLCEG_00001	mRNA	780				
HELDLCEG_00001	CDS	780				hypothetical protein
HELDLCEG_00002	gene	912				
HELDLCEG_00002	mRNA	912				
HELDLCEG_00002	CDS	912				hypothetical protein
HELDLCEG_00003	gene	1254				
HELDLCEG_00003	mRNA	1254				
HELDLCEG_00003	CDS	1254				hypothetical protein
HELDLCEG_00004	gene	720	ypdB_1			
HELDLCEG_00004	mRNA	720	ypdB_1			
HELDLCEG_00004	CDS	720	ypdB_1		COG3279	Transcriptional regulatory protein YpdB
HELDLCEG_00005	gene	1056				
HELDLCEG_00005	mRNA	1056				
HELDLCEG_00005	CDS	1056				hypothetical protein
HELDLCEG_00006	gene	4104				
HELDLCEG_00006	mRNA	4104				
HELDLCEG_00006	CDS	4104				hypothetical protein
HELDLCEG_00007	gene	990				
HELDLCEG_00007	mRNA	990				
HELDLCEG_00007	CDS	990				hypothetical protein
HELDLCEG_00008	gene	846	malG			
HELDLCEG_00008	mRNA	846	malG			
HELDLCEG_00008	CDS	846	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
HELDLCEG_00009	gene	912	malF			
HELDLCEG_00009	mRNA	912	malF			
HELDLCEG_00009	CDS	912	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
HELDLCEG_00010	gene	1221	malE			
HELDLCEG_00010	mRNA	1221	malE			
HELDLCEG_00010	CDS	1221	malE		COG2182	Maltose/maltodextrin-binding periplasmic protein
HELDLCEG_00011	gene	1074	ganB_1			
HELDLCEG_00011	mRNA	1074	ganB_1			
HELDLCEG_00011	CDS	1074	ganB_1	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
HELDLCEG_00012	gene	654				
HELDLCEG_00012	mRNA	654				
HELDLCEG_00012	CDS	654				hypothetical protein
HELDLCEG_00013	gene	984	lacR			
HELDLCEG_00013	mRNA	984	lacR			
HELDLCEG_00013	CDS	984	lacR		COG1609	HTH-type transcriptional regulator LacR
HELDLCEG_00014	gene	2313	lacG			
HELDLCEG_00014	mRNA	2313	lacG			
HELDLCEG_00014	CDS	2313	lacG	3.2.1.85		6-phospho-beta-galactosidase
HELDLCEG_00015	gene	1107				
HELDLCEG_00015	mRNA	1107				
HELDLCEG_00015	CDS	1107				hypothetical protein
HELDLCEG_00016	gene	1050	celE			
HELDLCEG_00016	mRNA	1050	celE			
HELDLCEG_00016	CDS	1050	celE		COG2730	Cellulase/esterase CelE
HELDLCEG_00017	gene	1026				
HELDLCEG_00017	mRNA	1026				
HELDLCEG_00017	CDS	1026		2.4.1.319	COG2152	Beta-1,4-mannooligosaccharide phosphorylase
HELDLCEG_00018	gene	1173				
HELDLCEG_00018	mRNA	1173				
HELDLCEG_00018	CDS	1173		2.4.1.281	COG2152	4-O-beta-D-mannosyl-D-glucose phosphorylase
HELDLCEG_00019	gene	1176	ce-ne1			
HELDLCEG_00019	mRNA	1176	ce-ne1			
HELDLCEG_00019	CDS	1176	ce-ne1	5.1.3.11	COG2942	Cellobiose 2-epimerase
HELDLCEG_00020	gene	879	melC_1			
HELDLCEG_00020	mRNA	879	melC_1			
HELDLCEG_00020	CDS	879	melC_1		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
HELDLCEG_00021	gene	1026				
HELDLCEG_00021	mRNA	1026				
HELDLCEG_00021	CDS	1026				hypothetical protein
HELDLCEG_00022	gene	1404	msmE_1			
HELDLCEG_00022	mRNA	1404	msmE_1			
HELDLCEG_00022	CDS	1404	msmE_1		COG1653	Multiple sugar-binding protein
HELDLCEG_00023	gene	879				
HELDLCEG_00023	mRNA	879				
HELDLCEG_00023	CDS	879				hypothetical protein
HELDLCEG_00024	gene	981				
HELDLCEG_00024	mRNA	981				
HELDLCEG_00024	CDS	981				hypothetical protein
HELDLCEG_00025	gene	429	carQ			
HELDLCEG_00025	mRNA	429	carQ			
HELDLCEG_00025	CDS	429	carQ		COG1595	RNA polymerase sigma factor CarQ
HELDLCEG_00026	gene	459				
HELDLCEG_00026	mRNA	459				
HELDLCEG_00026	CDS	459				hypothetical protein
HELDLCEG_00027	gene	267				
HELDLCEG_00027	mRNA	267				
HELDLCEG_00027	CDS	267				hypothetical protein
HELDLCEG_00028	gene	1206				
HELDLCEG_00028	mRNA	1206				
HELDLCEG_00028	CDS	1206				hypothetical protein
HELDLCEG_00029	gene	1419				
HELDLCEG_00029	mRNA	1419				
HELDLCEG_00029	CDS	1419				hypothetical protein
HELDLCEG_00030	gene	675				
HELDLCEG_00030	mRNA	675				
HELDLCEG_00030	CDS	675				hypothetical protein
HELDLCEG_00031	gene	3348	smc_1			
HELDLCEG_00031	mRNA	3348	smc_1			
HELDLCEG_00031	CDS	3348	smc_1			Chromosome partition protein Smc
HELDLCEG_00032	gene	420				
HELDLCEG_00032	mRNA	420				
HELDLCEG_00032	CDS	420				hypothetical protein
HELDLCEG_00033	gene	879				
HELDLCEG_00033	mRNA	879				
HELDLCEG_00033	CDS	879				hypothetical protein
HELDLCEG_00034	gene	966	bioB			
HELDLCEG_00034	mRNA	966	bioB			
HELDLCEG_00034	CDS	966	bioB	2.8.1.6		Biotin synthase
HELDLCEG_00035	gene	153				
HELDLCEG_00035	mRNA	153				
HELDLCEG_00035	CDS	153				hypothetical protein
HELDLCEG_00036	gene	1089	trpS2			
HELDLCEG_00036	mRNA	1089	trpS2			
