HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4.hmm	160	EHOBLNMB_00055	363	1.3e-33	6	160	187	338	0.9625
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00058	294	1.2e-22	1	108	5	112	0.6294117647058823
GT4.hmm	160	EHOBLNMB_00060	370	1.4e-23	12	154	199	339	0.8875
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00061	332	9.6e-38	1	130	7	135	0.7588235294117647
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00062	324	2e-40	1	133	6	136	0.7764705882352941
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00067	314	6.6e-37	1	131	8	136	0.7647058823529411
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00069	312	4.1e-38	1	122	5	125	0.711764705882353
GH13_14.hmm	289	EHOBLNMB_00189	940	2.3e-110	2	289	208	529	0.9930795847750865
GH13_14.hmm	289	EHOBLNMB_00190	1059	8.6e-110	1	289	244	568	0.9965397923875432
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00236	304	1.9e-29	1	108	7	114	0.6294117647058823
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00240	295	4e-29	1	164	6	167	0.9588235294117647
GT4.hmm	160	EHOBLNMB_00241	377	2.2e-26	8	142	196	326	0.8375
GT8.hmm	257	EHOBLNMB_00242	329	2.5e-41	31	256	2	262	0.8754863813229572
GT28.hmm	157	EHOBLNMB_00268	380	7.6e-33	1	156	205	358	0.9872611464968153
GH13_36.hmm	314	EHOBLNMB_00277	551	1.6e-103	1	312	76	395	0.9904458598726115
GH31.hmm	427	EHOBLNMB_00291	634	6.3e-137	2	425	134	611	0.990632318501171
GT51.hmm	177	EHOBLNMB_00329	817	1.7e-65	5	177	98	270	0.9717514124293786
CE1.hmm	227	EHOBLNMB_00360	260	1.8e-34	6	221	17	254	0.947136563876652
GT35.hmm	674	EHOBLNMB_00412	788	1.7e-258	2	673	87	784	0.9955489614243324
GH77.hmm	494	EHOBLNMB_00413	495	2.9e-176	1	490	9	488	0.9898785425101214
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00430	324	7.5e-34	2	169	6	170	0.9823529411764705
GH13_39.hmm	316	EHOBLNMB_00469	629	9.9e-131	1	315	191	520	0.9936708860759493
GH13_11.hmm	351	EHOBLNMB_00559	694	3.3e-151	1	351	178	532	0.9971509971509972
GH13_20.hmm	300	EHOBLNMB_00560	564	1.4e-80	6	297	35	322	0.97
GH3.hmm	216	EHOBLNMB_00592	411	2e-45	4	215	121	347	0.9768518518518519
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_00699	359	4.5e-24	1	169	4	176	0.9882352941176471
GT5.hmm	472	EHOBLNMB_00704	475	8.4e-171	1	471	2	469	0.9957627118644068
CBM48.hmm	76	EHOBLNMB_00707	640	2.1e-18	3	71	27	111	0.8947368421052632
GH13_9.hmm	301	EHOBLNMB_00707	640	7.5e-145	1	301	178	478	0.9966777408637874
GH13.hmm	299	EHOBLNMB_00718	427	1.3e-51	6	291	20	317	0.9531772575250836
GH25.hmm	177	EHOBLNMB_00772	302	3.9e-44	1	177	102	285	0.9943502824858758
GH13_28.hmm	266	EHOBLNMB_00875	861	9e-75	1	265	62	313	0.9924812030075187
GT4.hmm	160	EHOBLNMB_00924	375	2.1e-27	7	157	202	348	0.9375
GT4.hmm	160	EHOBLNMB_00929	375	2.2e-21	12	153	208	345	0.88125
GH13_19.hmm	360	EHOBLNMB_00982	1350	5.6e-140	1	360	107	478	0.9972222222222222
GH13_28.hmm	266	EHOBLNMB_01022	568	1.9e-97	1	264	52	328	0.9887218045112782
CBM74.hmm	312	EHOBLNMB_01024	734	3.8e-136	1	312	242	568	0.9967948717948718
CE4.hmm	130	EHOBLNMB_01076	261	9.8e-34	4	122	50	170	0.9076923076923077
GT28.hmm	157	EHOBLNMB_01130	373	1.1e-50	2	157	193	358	0.9872611464968153
CBM26.hmm	75	EHOBLNMB_01224	548	2.1e-17	1	68	36	98	0.8933333333333333
GH13_42.hmm	421	EHOBLNMB_01225	804	5.9e-138	1	421	186	637	0.997624703087886
CBM13.hmm	188	EHOBLNMB_01309	702	1.1e-22	4	140	196	341	0.723404255319149
CBM13.hmm	188	EHOBLNMB_01309	702	1.3e-19	6	158	349	506	0.8085106382978723
CBM13.hmm	188	EHOBLNMB_01309	702	1.6e-19	5	146	499	649	0.75
GT2_Glycos_transf_2.hmm	170	EHOBLNMB_01364	317	1.4e-28	3	166	7	172	0.9588235294117647
GH13.hmm	299	EHOBLNMB_01513	511	7.1e-70	13	292	27	363	0.9331103678929766
CBM48.hmm	76	EHOBLNMB_01637	761	1.4e-19	3	71	27	112	0.8947368421052632
GH13_9.hmm	301	EHOBLNMB_01637	761	4.9e-155	1	301	179	480	0.9966777408637874
GH23.hmm	135	EHOBLNMB_01645	189	4.9e-28	4	122	40	178	0.8740740740740741
GH13_14.hmm	289	EHOBLNMB_01682	1233	3.4e-106	1	289	228	544	0.9965397923875432
CBM26.hmm	75	EHOBLNMB_01682	1233	4.7e-16	2	70	842	907	0.9066666666666666
CE4.hmm	130	EHOBLNMB_01750	287	8.2e-27	3	125	94	245	0.9384615384615385
GH13_42.hmm	421	EHOBLNMB_01804	751	1.4e-149	1	421	176	584	0.997624703087886
GH13_28.hmm	266	EHOBLNMB_01820	1056	3.8e-84	1	264	59	341	0.9887218045112782
GT100.hmm	222	EHOBLNMB_01880	531	5.4e-28	13	217	87	310	0.918918918918919
GT100.hmm	222	EHOBLNMB_01884	502	1.7e-20	3	217	94	318	0.963963963963964
