HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	KDDOAEGE_00009	472	2.2e-156	3	428	7	467	0.9906759906759907
GH1.hmm	429	KDDOAEGE_00035	492	2.2e-146	3	428	2	486	0.9906759906759907
GH36.hmm	688	KDDOAEGE_00037	738	5.8e-286	2	687	11	708	0.9956395348837209
GH13_31.hmm	349	KDDOAEGE_00038	547	4.1e-148	1	348	28	376	0.994269340974212
GH1.hmm	429	KDDOAEGE_00042	466	4.3e-130	3	428	3	464	0.9906759906759907
CE1.hmm	227	KDDOAEGE_00182	251	3.6e-36	3	219	11	243	0.9515418502202643
GT35.hmm	674	KDDOAEGE_00196	798	1.3e-266	2	674	93	794	0.9970326409495549
GH13_9.hmm	301	KDDOAEGE_00197	645	3.8e-121	1	301	179	468	0.9966777408637874
GT51.hmm	177	KDDOAEGE_00208	603	9e-68	8	177	33	202	0.9548022598870056
GT5.hmm	472	KDDOAEGE_00278	674	1.6e-177	2	470	194	667	0.9915254237288136
GH25.hmm	177	KDDOAEGE_00282	335	1.9e-44	1	177	6	181	0.9943502824858758
GH32.hmm	293	KDDOAEGE_00361	440	5.9e-89	1	292	6	318	0.9931740614334471
GT51.hmm	177	KDDOAEGE_00404	111	1.4e-39	55	160	4	109	0.5932203389830508
CE4.hmm	130	KDDOAEGE_00434	298	1.7e-28	4	123	93	214	0.9153846153846154
GH1.hmm	429	KDDOAEGE_00466	488	1.8e-147	5	428	3	485	0.986013986013986
GT5.hmm	472	KDDOAEGE_00605	475	6.7e-175	1	470	2	471	0.9936440677966102
GT28.hmm	157	KDDOAEGE_00713	366	2e-50	2	157	196	352	0.9872611464968153
GH170.hmm	350	KDDOAEGE_00767	382	9e-111	2	349	4	380	0.9914285714285714
GH1.hmm	429	KDDOAEGE_00775	279	1e-78	192	428	1	278	0.5501165501165501
GH170.hmm	350	KDDOAEGE_00877	389	2.2e-71	1	242	5	252	0.6885714285714286
GH1.hmm	429	KDDOAEGE_00885	482	2.1e-167	3	428	7	479	0.9906759906759907
GH1.hmm	429	KDDOAEGE_00996	487	2e-142	4	428	2	483	0.9883449883449883
GH1.hmm	429	KDDOAEGE_01012	475	1e-148	5	428	3	472	0.986013986013986
GH1.hmm	429	KDDOAEGE_01076	494	4.1e-138	4	428	2	487	0.9883449883449883
GH1.hmm	429	KDDOAEGE_01130	475	2.5e-142	5	428	3	471	0.986013986013986
GH1.hmm	429	KDDOAEGE_01255	394	1.6e-106	67	428	1	392	0.8414918414918415
GH1.hmm	429	KDDOAEGE_01257	470	8.3e-142	1	428	1	466	0.9953379953379954
GH77.hmm	494	KDDOAEGE_01299	488	5.3e-146	1	479	15	477	0.9676113360323887
CE4.hmm	130	KDDOAEGE_01473	391	3.3e-25	4	115	180	292	0.8538461538461538
CBM32.hmm	124	KDDOAEGE_01487	712	2.7e-22	6	122	317	437	0.9354838709677419
GH1.hmm	429	KDDOAEGE_01488	467	2e-153	3	428	7	464	0.9906759906759907
GH13_14.hmm	289	KDDOAEGE_01498	658	4.9e-108	2	289	222	529	0.9930795847750865
CBM32.hmm	124	KDDOAEGE_01506	468	6.9e-19	7	123	73	190	0.9354838709677419
GT2_Glycos_transf_2.hmm	170	KDDOAEGE_01514	311	4.1e-24	1	125	38	163	0.7294117647058823
GH1.hmm	429	KDDOAEGE_01619	489	1.3e-143	2	428	2	483	0.993006993006993
PL9_1.hmm	375	KDDOAEGE_01626	276	2.1e-42	213	372	7	189	0.424
CE9.hmm	373	KDDOAEGE_01657	144	3.4e-36	237	373	1	140	0.3646112600536193
GH1.hmm	429	KDDOAEGE_01672	336	1.4e-93	123	428	1	333	0.710955710955711
GH1.hmm	429	KDDOAEGE_01725	346	3.1e-98	123	428	1	343	0.710955710955711
