locus_tag	ftype	length_bp	gene	EC_number	COG	product
LKDPMFFB_00001	gene	444	folP			
LKDPMFFB_00001	mRNA	444	folP			
LKDPMFFB_00001	CDS	444	folP	2.5.1.15	COG0294	Dihydropteroate synthase
LKDPMFFB_00002	gene	819	sulD			
LKDPMFFB_00002	mRNA	819	sulD			
LKDPMFFB_00002	CDS	819	sulD		COG0801	Bifunctional folate synthesis protein
LKDPMFFB_00003	gene	1692				
LKDPMFFB_00003	mRNA	1692				
LKDPMFFB_00003	CDS	1692				hypothetical protein
LKDPMFFB_00004	gene	627	lexA			
LKDPMFFB_00004	mRNA	627	lexA			
LKDPMFFB_00004	CDS	627	lexA	3.4.21.88	COG1974	LexA repressor
LKDPMFFB_00005	gene	342	yneA			
LKDPMFFB_00005	mRNA	342	yneA			
LKDPMFFB_00005	CDS	342	yneA			Cell division suppressor protein YneA
LKDPMFFB_00006	gene	729	ttcA_1			
LKDPMFFB_00006	mRNA	729	ttcA_1			
LKDPMFFB_00006	CDS	729	ttcA_1	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
LKDPMFFB_00007	gene	1164				
LKDPMFFB_00007	mRNA	1164				
LKDPMFFB_00007	CDS	1164				IS607 family transposase ISCbt3
LKDPMFFB_00008	gene	1119	cshC			
LKDPMFFB_00008	mRNA	1119	cshC			
LKDPMFFB_00008	CDS	1119	cshC	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshC
LKDPMFFB_00009	gene	405				
LKDPMFFB_00009	mRNA	405				
LKDPMFFB_00009	CDS	405				hypothetical protein
LKDPMFFB_00010	gene	786	spo0A_1			
LKDPMFFB_00010	mRNA	786	spo0A_1			
LKDPMFFB_00010	CDS	786	spo0A_1		COG0784	Stage 0 sporulation protein A
LKDPMFFB_00011	gene	1437	glgA_1			
LKDPMFFB_00011	mRNA	1437	glgA_1			
LKDPMFFB_00011	CDS	1437	glgA_1	2.4.1.21	COG0297	Glycogen synthase
LKDPMFFB_00012	gene	3258				
LKDPMFFB_00012	mRNA	3258				
LKDPMFFB_00012	CDS	3258				hypothetical protein
LKDPMFFB_00013	gene	582				
LKDPMFFB_00013	mRNA	582				
LKDPMFFB_00013	CDS	582				hypothetical protein
LKDPMFFB_00014	gene	159				
LKDPMFFB_00014	mRNA	159				
LKDPMFFB_00014	CDS	159				hypothetical protein
LKDPMFFB_00015	gene	1737	rqcH			
LKDPMFFB_00015	mRNA	1737	rqcH			
LKDPMFFB_00015	CDS	1737	rqcH		COG1293	Rqc2 RqcH
LKDPMFFB_00016	gene	879				
LKDPMFFB_00016	mRNA	879				
LKDPMFFB_00016	CDS	879				hypothetical protein
LKDPMFFB_00017	gene	624	gmk_1			
LKDPMFFB_00017	mRNA	624	gmk_1			
LKDPMFFB_00017	CDS	624	gmk_1	2.7.4.8	COG0194	Guanylate kinase
LKDPMFFB_00018	gene	249	rpoZ			
LKDPMFFB_00018	mRNA	249	rpoZ			
LKDPMFFB_00018	CDS	249	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
LKDPMFFB_00019	gene	840	uppP_1			
LKDPMFFB_00019	mRNA	840	uppP_1			
LKDPMFFB_00019	CDS	840	uppP_1	3.6.1.27		Undecaprenyl-diphosphatase
LKDPMFFB_00020	gene	1284				
LKDPMFFB_00020	mRNA	1284				
LKDPMFFB_00020	CDS	1284			COG1167	Putative aminotransferase/MSMEI_6121
LKDPMFFB_00021	gene	798	proC			
LKDPMFFB_00021	mRNA	798	proC			
LKDPMFFB_00021	CDS	798	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
LKDPMFFB_00022	gene	543	act			
LKDPMFFB_00022	mRNA	543	act			
LKDPMFFB_00022	CDS	543	act	3.-.-.-		Methanol dehydrogenase activator
LKDPMFFB_00023	gene	486				
LKDPMFFB_00023	mRNA	486				
LKDPMFFB_00023	CDS	486				hypothetical protein
LKDPMFFB_00024	gene	1473				
LKDPMFFB_00024	mRNA	1473				
LKDPMFFB_00024	CDS	1473				hypothetical protein
LKDPMFFB_00025	gene	1515	dltA			
LKDPMFFB_00025	mRNA	1515	dltA			
LKDPMFFB_00025	CDS	1515	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
LKDPMFFB_00026	gene	1176	btrK			
