locus_tag	ftype	length_bp	gene	EC_number	COG	product
BDMCONLN_00001	gene	291				
BDMCONLN_00001	mRNA	291				
BDMCONLN_00001	CDS	291				hypothetical protein
BDMCONLN_00002	gene	321				
BDMCONLN_00002	mRNA	321				
BDMCONLN_00002	CDS	321				hypothetical protein
BDMCONLN_00003	gene	291				
BDMCONLN_00003	mRNA	291				
BDMCONLN_00003	CDS	291				hypothetical protein
BDMCONLN_00004	gene	207				
BDMCONLN_00004	mRNA	207				
BDMCONLN_00004	CDS	207				hypothetical protein
BDMCONLN_00005	gene	768				
BDMCONLN_00005	mRNA	768				
BDMCONLN_00005	CDS	768				hypothetical protein
BDMCONLN_00006	gene	294				
BDMCONLN_00006	mRNA	294				
BDMCONLN_00006	CDS	294				hypothetical protein
BDMCONLN_00007	gene	1020				
BDMCONLN_00007	mRNA	1020				
BDMCONLN_00007	CDS	1020				hypothetical protein
BDMCONLN_00008	gene	420				
BDMCONLN_00008	mRNA	420				
BDMCONLN_00008	CDS	420				hypothetical protein
BDMCONLN_00009	gene	501				
BDMCONLN_00009	mRNA	501				
BDMCONLN_00009	CDS	501				hypothetical protein
BDMCONLN_00010	gene	252				
BDMCONLN_00010	mRNA	252				
BDMCONLN_00010	CDS	252				hypothetical protein
BDMCONLN_00011	gene	141				
BDMCONLN_00011	mRNA	141				
BDMCONLN_00011	CDS	141				hypothetical protein
BDMCONLN_00012	gene	255	nrdZ			
BDMCONLN_00012	mRNA	255	nrdZ			
BDMCONLN_00012	CDS	255	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
BDMCONLN_00013	gene	1149				
BDMCONLN_00013	mRNA	1149				
BDMCONLN_00013	CDS	1149				hypothetical protein
BDMCONLN_00014	gene	363				
BDMCONLN_00014	mRNA	363				
BDMCONLN_00014	CDS	363				hypothetical protein
BDMCONLN_00015	gene	1386	recD2_1			
BDMCONLN_00015	mRNA	1386	recD2_1			
BDMCONLN_00015	CDS	1386	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
BDMCONLN_00016	gene	417				
BDMCONLN_00016	mRNA	417				
BDMCONLN_00016	CDS	417				hypothetical protein
BDMCONLN_00017	gene	624				
BDMCONLN_00017	mRNA	624				
BDMCONLN_00017	CDS	624				hypothetical protein
BDMCONLN_00018	gene	399				
BDMCONLN_00018	mRNA	399				
BDMCONLN_00018	CDS	399				hypothetical protein
BDMCONLN_00019	gene	450				
BDMCONLN_00019	mRNA	450				
BDMCONLN_00019	CDS	450				hypothetical protein
BDMCONLN_00020	gene	504				
BDMCONLN_00020	mRNA	504				
BDMCONLN_00020	CDS	504				hypothetical protein
BDMCONLN_00021	gene	447				
BDMCONLN_00021	mRNA	447				
BDMCONLN_00021	CDS	447				hypothetical protein
BDMCONLN_00022	gene	351				
BDMCONLN_00022	mRNA	351				
BDMCONLN_00022	CDS	351				hypothetical protein
BDMCONLN_00023	gene	108				
BDMCONLN_00023	mRNA	108				
BDMCONLN_00023	CDS	108				hypothetical protein
BDMCONLN_00024	gene	156				
BDMCONLN_00024	mRNA	156				
BDMCONLN_00024	CDS	156				hypothetical protein
BDMCONLN_00025	gene	588				
BDMCONLN_00025	mRNA	588				
BDMCONLN_00025	CDS	588				hypothetical protein
BDMCONLN_00026	gene	132				
BDMCONLN_00026	mRNA	132				
BDMCONLN_00026	CDS	132				hypothetical protein
BDMCONLN_00027	gene	183				
BDMCONLN_00027	mRNA	183				
BDMCONLN_00027	CDS	183				hypothetical protein
BDMCONLN_00028	gene	912				
BDMCONLN_00028	mRNA	912				
BDMCONLN_00028	CDS	912				hypothetical protein
BDMCONLN_00029	gene	507				
BDMCONLN_00029	mRNA	507				
BDMCONLN_00029	CDS	507				hypothetical protein
BDMCONLN_00030	gene	429	thyX			
BDMCONLN_00030	mRNA	429	thyX			
BDMCONLN_00030	CDS	429	thyX	2.1.1.148		Flavin-dependent thymidylate synthase
BDMCONLN_00031	gene	963				
BDMCONLN_00031	mRNA	963				
BDMCONLN_00031	CDS	963				hypothetical protein
BDMCONLN_00032	gene	498				
BDMCONLN_00032	mRNA	498				
BDMCONLN_00032	CDS	498				hypothetical protein
BDMCONLN_00033	gene	540				
BDMCONLN_00033	mRNA	540				
BDMCONLN_00033	CDS	540				hypothetical protein
BDMCONLN_00034	gene	786				
BDMCONLN_00034	mRNA	786				
BDMCONLN_00034	CDS	786				hypothetical protein
BDMCONLN_00035	gene	1206				
BDMCONLN_00035	mRNA	1206				
BDMCONLN_00035	CDS	1206				hypothetical protein
BDMCONLN_00036	gene	252				
BDMCONLN_00036	mRNA	252				
BDMCONLN_00036	CDS	252				hypothetical protein
BDMCONLN_00037	gene	165				
BDMCONLN_00037	mRNA	165				
BDMCONLN_00037	CDS	165				hypothetical protein
BDMCONLN_00038	gene	117				
BDMCONLN_00038	mRNA	117				
BDMCONLN_00038	CDS	117				hypothetical protein
BDMCONLN_00039	gene	288				
BDMCONLN_00039	mRNA	288				
BDMCONLN_00039	CDS	288				hypothetical protein
BDMCONLN_00040	gene	309				
BDMCONLN_00040	mRNA	309				
BDMCONLN_00040	CDS	309				hypothetical protein
BDMCONLN_00041	gene	162				
BDMCONLN_00041	mRNA	162				
BDMCONLN_00041	CDS	162				hypothetical protein
BDMCONLN_00042	gene	684				
BDMCONLN_00042	mRNA	684				
BDMCONLN_00042	CDS	684				hypothetical protein
BDMCONLN_00043	gene	558				
BDMCONLN_00043	mRNA	558				
BDMCONLN_00043	CDS	558				hypothetical protein
BDMCONLN_00044	gene	399				
BDMCONLN_00044	mRNA	399				
BDMCONLN_00044	CDS	399				hypothetical protein
BDMCONLN_00045	gene	228				
BDMCONLN_00045	mRNA	228				
BDMCONLN_00045	CDS	228				hypothetical protein
BDMCONLN_00046	gene	438				
BDMCONLN_00046	mRNA	438				
BDMCONLN_00046	CDS	438				hypothetical protein
BDMCONLN_00047	gene	294				
BDMCONLN_00047	mRNA	294				
BDMCONLN_00047	CDS	294				hypothetical protein
BDMCONLN_00048	gene	270				
BDMCONLN_00048	mRNA	270				
BDMCONLN_00048	CDS	270				hypothetical protein
BDMCONLN_00049	gene	312				
BDMCONLN_00049	mRNA	312				
BDMCONLN_00049	CDS	312				hypothetical protein
BDMCONLN_00050	gene	357				
BDMCONLN_00050	mRNA	357				
BDMCONLN_00050	CDS	357				hypothetical protein
BDMCONLN_00051	gene	171				
BDMCONLN_00051	mRNA	171				
BDMCONLN_00051	CDS	171				hypothetical protein
BDMCONLN_00052	gene	534				
BDMCONLN_00052	mRNA	534				
BDMCONLN_00052	CDS	534				hypothetical protein
BDMCONLN_00053	gene	867				
BDMCONLN_00053	mRNA	867				
BDMCONLN_00053	CDS	867				hypothetical protein
BDMCONLN_00054	gene	504				
BDMCONLN_00054	mRNA	504				
BDMCONLN_00054	CDS	504				hypothetical protein
BDMCONLN_00055	gene	456				
BDMCONLN_00055	mRNA	456				
