HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM27.hmm	168	HELDLCEG_00006	1367	1.1e-24	21	168	239	374	0.875
GH26.hmm	303	HELDLCEG_00006	1367	6.6e-60	2	284	410	758	0.9306930693069307
CBM23.hmm	162	HELDLCEG_00006	1367	1.5e-36	2	151	908	1064	0.9197530864197531
GH53.hmm	342	HELDLCEG_00007	329	2.1e-49	182	341	1	174	0.4649122807017544
CBM61.hmm	141	HELDLCEG_00007	329	4.1e-36	2	137	181	321	0.9574468085106383
GH53.hmm	342	HELDLCEG_00011	357	4.1e-128	1	339	4	351	0.9883040935672515
CBM61.hmm	141	HELDLCEG_00012	217	2.7e-32	2	141	69	214	0.9858156028368794
GH1.hmm	429	HELDLCEG_00014	770	2.4e-154	5	428	2	448	0.986013986013986
CE17.hmm	165	HELDLCEG_00015	368	4.2e-78	1	165	35	198	0.9939393939393939
CBM35inCE17.hmm	149	HELDLCEG_00015	368	9.4e-58	2	149	219	366	0.9865771812080537
CE2.hmm	209	HELDLCEG_00016	349	6.7e-56	1	209	127	339	0.9952153110047847
GH130.hmm	296	HELDLCEG_00017	341	3.9e-93	1	296	29	326	0.9966216216216216
GH130.hmm	296	HELDLCEG_00018	390	6e-91	2	295	47	358	0.9898648648648649
GH13_36.hmm	314	HELDLCEG_00076	528	6.8e-113	1	312	60	378	0.9904458598726115
GH13_20.hmm	300	HELDLCEG_00120	435	1.3e-80	5	299	33	325	0.98
GH2.hmm	752	HELDLCEG_00122	829	2.6e-109	30	574	4	724	0.723404255319149
GH42.hmm	371	HELDLCEG_00123	669	2.2e-155	1	370	13	382	0.9946091644204852
GT8.hmm	257	HELDLCEG_00128	603	1.9e-56	26	255	4	247	0.8910505836575876
GT8.hmm	257	HELDLCEG_00129	278	7.3e-30	30	247	2	227	0.8443579766536965
GT2_Glycos_transf_2.hmm	170	HELDLCEG_00168	351	2e-35	1	165	7	173	0.9647058823529412
CBM61.hmm	141	HELDLCEG_00228	186	5.5e-31	1	140	29	182	0.9858156028368794
CBM54.hmm	114	HELDLCEG_00230	813	7.3e-20	18	112	151	245	0.8245614035087719
GH53.hmm	342	HELDLCEG_00250	948	8.2e-94	15	341	121	486	0.9532163742690059
GH53.hmm	342	HELDLCEG_00251	349	1.2e-112	1	341	4	344	0.9941520467836257
GH53.hmm	342	HELDLCEG_00252	334	6.1e-103	1	314	2	309	0.9152046783625731
GH53.hmm	342	HELDLCEG_00301	1200	1.9e-103	1	341	303	679	0.9941520467836257
GH18.hmm	296	HELDLCEG_00305	225	1.9e-32	91	282	3	214	0.6452702702702703
GT101.hmm	224	HELDLCEG_00368	346	5.5e-74	2	224	95	321	0.9910714285714286
GT111.hmm	217	HELDLCEG_00374	351	9.2e-73	1	217	5	213	0.9953917050691244
GH36.hmm	688	HELDLCEG_00431	736	4.5e-283	2	687	12	713	0.9956395348837209
GH36.hmm	688	HELDLCEG_00452	701	5.1e-72	106	641	86	644	0.7776162790697675
GH25.hmm	177	HELDLCEG_00462	613	2.1e-39	1	176	116	316	0.9887005649717514
GT28.hmm	157	HELDLCEG_00511	358	8.3e-40	2	149	192	340	0.9363057324840764
CE4.hmm	130	HELDLCEG_00520	231	1.4e-31	5	112	45	154	0.823076923076923
GH31.hmm	427	HELDLCEG_00523	745	1.4e-168	2	427	227	665	0.9953161592505855
GH39.hmm	431	HELDLCEG_00531	518	2.2e-164	3	430	23	453	0.9907192575406032
GH43_35.hmm	294	HELDLCEG_00532	465	1.3e-122	1	294	7	309	0.9965986394557823
GH127.hmm	524	HELDLCEG_00534	677	9.6e-222	2	524	16	585	0.9961832061068703
GT35.hmm	674	HELDLCEG_00546	822	6.9e-281	1	673	95	812	0.9970326409495549
GH32.hmm	293	HELDLCEG_00656	474	1.1e-85	1	293	35	344	0.9965870307167235
GH13_18.hmm	343	HELDLCEG_00665	491	2.4e-94	1	343	34	390	0.9970845481049563
GH36.hmm	688	HELDLCEG_00666	496	5.1e-104	419	687	2	263	0.38953488372093026
GT2_Glycos_transf_2.hmm	170	HELDLCEG_00682	348	4.9e-19	1	106	5	101	0.6176470588235294
GT26.hmm	171	HELDLCEG_00688	227	8.8e-16	27	134	82	189	0.6257309941520468
GH25.hmm	177	HELDLCEG_00690	720	4.2e-35	5	176	134	325	0.9661016949152542
GH13_31.hmm	349	HELDLCEG_00811	555	5e-139	1	348	28	374	0.994269340974212
CE1.hmm	227	HELDLCEG_00859	293	1.8e-39	9	213	61	281	0.8986784140969163
CBM86.hmm	107	HELDLCEG_00860	1368	1.9e-34	1	107	52	161	0.9906542056074766
CBM22.hmm	131	HELDLCEG_00860	1368	1.9e-19	1	126	178	327	0.9541984732824428
GH10.hmm	303	HELDLCEG_00860	1368	2.5e-80	14	303	384	766	0.9537953795379538
CBM9.hmm	182	HELDLCEG_00860	1368	4.3e-48	1	182	925	1096	0.9945054945054945
GH36.hmm	688	HELDLCEG_00868	784	2.8e-269	2	677	9	701	0.9811046511627907
GT4.hmm	160	HELDLCEG_00872	663	7.6e-35	5	158	205	354	0.95625
GT2_Glycos_transf_2.hmm	170	HELDLCEG_00872	663	7.1e-23	1	115	399	515	0.6705882352941176
GH32.hmm	293	HELDLCEG_00884	488	2.7e-103	1	293	28	336	0.9965870307167235
CBM4.hmm	126	HELDLCEG_00970	565	7.9e-20	56	126	2	73	0.5555555555555556
CBM4.hmm	126	HELDLCEG_00970	565	2.2e-29	2	126	243	380	0.9841269841269841
CBM4.hmm	126	HELDLCEG_00970	565	4.1e-29	1	126	416	541	0.9920634920634921
CE2.hmm	209	HELDLCEG_00979	326	5.7e-39	1	203	124	309	0.9665071770334929
CE9.hmm	373	HELDLCEG_00984	245	5.6e-101	124	369	1	244	0.6568364611260054
GH113.hmm	306	HELDLCEG_01013	311	9.2e-103	2	305	4	302	0.9901960784313726
CBM83.hmm	96	HELDLCEG_01064	1200	2.9e-24	2	96	157	248	0.9791666666666666
GH13_41.hmm	294	HELDLCEG_01064	1200	6e-104	1	293	508	806	0.9931972789115646
GH32.hmm	293	HELDLCEG_01130	479	8.9e-96	1	293	31	338	0.9965870307167235
CBM34.hmm	120	HELDLCEG_01219	587	8.2e-21	1	120	6	131	0.9916666666666667
GH13_20.hmm	300	HELDLCEG_01219	587	3.9e-125	1	300	180	479	0.9966666666666667
GT5.hmm	472	HELDLCEG_01233	482	3.1e-186	1	472	3	478	0.9978813559322034
GH94.hmm	1036	HELDLCEG_01243	807	1e-252	263	1034	2	802	0.7442084942084942
GT51.hmm	177	HELDLCEG_01305	793	3.9e-63	2	177	79	260	0.9887005649717514
GH13_31.hmm	349	HELDLCEG_01322	487	4.7e-133	45	348	1	305	0.8681948424068768
GH3.hmm	216	HELDLCEG_01342	446	4.3e-56	6	216	40	257	0.9722222222222222
GH120.hmm	91	HELDLCEG_01380	339	3.7e-27	21	91	1	71	0.7692307692307693
CBM48.hmm	76	HELDLCEG_01447	637	3.3e-17	2	70	23	110	0.8947368421052632
GH13_9.hmm	301	HELDLCEG_01447	637	9e-151	1	301	184	484	0.9966777408637874
GH29.hmm	346	HELDLCEG_01495	494	1.2e-107	16	346	11	379	0.953757225433526
GT5.hmm	472	HELDLCEG_01513	483	1.1e-176	1	471	3	478	0.9957627118644068
CE4.hmm	130	HELDLCEG_01518	276	1.1e-28	4	122	57	177	0.9076923076923077
CE4.hmm	130	HELDLCEG_01535	320	6.4e-26	6	125	110	238	0.9153846153846154
GH166.hmm	224	HELDLCEG_01550	287	6.9e-59	2	222	65	282	0.9821428571428571
CBM48.hmm	76	HELDLCEG_01571	730	1.8e-18	2	68	97	180	0.868421052631579
GH13_9.hmm	301	HELDLCEG_01571	730	7.2e-112	2	294	239	530	0.9700996677740864
CBM34.hmm	120	HELDLCEG_01581	572	2.5e-28	1	114	6	119	0.9416666666666667
GH13_20.hmm	300	HELDLCEG_01581	572	6.3e-122	1	300	170	468	0.9966666666666667
GH25.hmm	177	HELDLCEG_01613	307	5.8e-47	2	176	39	211	0.9830508474576272
GH43_11.hmm	292	HELDLCEG_01664	540	4.2e-136	1	292	4	305	0.9965753424657534
GH53.hmm	342	HELDLCEG_01781	369	4.5e-138	1	341	5	363	0.9941520467836257
GH5_2.hmm	237	HELDLCEG_01851	348	1.3e-100	1	236	58	300	0.9915611814345991
CE4.hmm	130	HELDLCEG_01866	336	2.5e-28	5	110	133	239	0.8076923076923077
GH51.hmm	630	HELDLCEG_01908	502	1.6e-141	84	541	2	501	0.7253968253968254
GH23.hmm	135	HELDLCEG_02069	112	1.2e-36	17	124	4	110	0.7925925925925926
GT2_Glycos_transf_2.hmm	170	HELDLCEG_02089	321	7.3e-35	1	168	7	171	0.9823529411764705
GH3.hmm	216	HELDLCEG_02100	738	3.5e-63	2	198	34	244	0.9074074074074074
GH77.hmm	494	HELDLCEG_02207	522	9e-179	1	491	8	487	0.9919028340080972
GH112.hmm	715	HELDLCEG_02218	489	3.3e-238	228	714	2	487	0.6797202797202797
CE19.hmm	332	HELDLCEG_02370	326	4.1e-16	49	192	19	153	0.4307228915662651
